traffic_indicator_DT,traffic_indicator_XGB,traffic_indicator_LGBM,traffic_indicator_LR,date,day,location,month,time_block,weather
3.0,2.96,2.71,2.85,1,fri,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,1,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,1,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,1,fri,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.85,1,fri,begum_rokeya,apr,e,1
3.0,2.97,2.71,2.84,1,fri,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.85,1,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,1,mon,begum_rokeya,apr,b,1
3.0,3.03,2.71,2.85,1,mon,begum_rokeya,apr,c,1
3.0,3.03,2.71,2.85,1,mon,begum_rokeya,apr,d,1
3.0,3.02,2.71,2.85,1,mon,begum_rokeya,apr,e,1
3.0,2.98,2.71,2.85,1,mon,begum_rokeya,apr,f,1
3.0,3.03,2.71,2.86,1,thu,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.86,1,thu,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,1,thu,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,1,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,1,thu,begum_rokeya,apr,e,1
3.0,2.96,2.71,2.86,1,thu,begum_rokeya,apr,f,1
3.0,2.99,2.71,2.87,1,wed,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.87,1,wed,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.87,1,wed,begum_rokeya,apr,c,1
3.0,3.02,2.71,2.87,1,wed,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.87,1,wed,begum_rokeya,apr,e,1
3.0,2.98,2.71,2.87,1,wed,begum_rokeya,apr,f,1
3.0,2.97,2.71,2.85,2,fri,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,2,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,2,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,2,fri,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.85,2,fri,begum_rokeya,apr,e,1
3.0,2.96,2.71,2.85,2,fri,begum_rokeya,apr,f,1
3.0,2.98,2.71,2.86,2,sat,begum_rokeya,apr,a,1
3.0,3.02,2.71,2.85,2,sat,begum_rokeya,apr,b,1
3.0,3.03,2.71,2.85,2,sat,begum_rokeya,apr,c,1
3.0,3.04,2.71,2.85,2,sat,begum_rokeya,apr,d,1
3.0,3.03,2.71,2.85,2,sat,begum_rokeya,apr,e,1
3.0,2.98,2.71,2.85,2,sat,begum_rokeya,apr,f,1
3.0,2.99,2.71,2.86,2,thu,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.86,2,thu,begum_rokeya,apr,b,1
3.0,3.02,2.71,2.86,2,thu,begum_rokeya,apr,c,1
3.0,3.03,2.71,2.86,2,thu,begum_rokeya,apr,d,1
3.0,3.02,2.71,2.86,2,thu,begum_rokeya,apr,e,1
3.0,2.99,2.71,2.86,2,thu,begum_rokeya,apr,f,1
3.0,2.98,2.71,2.87,2,tue,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.87,2,tue,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.87,2,tue,begum_rokeya,apr,c,1
3.0,3.03,2.71,2.87,2,tue,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.87,2,tue,begum_rokeya,apr,e,1
3.0,2.98,2.71,2.86,2,tue,begum_rokeya,apr,f,1
3.0,3.03,2.71,2.85,3,fri,begum_rokeya,apr,a,1
3.0,3.02,2.71,2.85,3,fri,begum_rokeya,apr,b,1
3.0,3.03,2.71,2.85,3,fri,begum_rokeya,apr,c,1
3.0,3.02,2.71,2.85,3,fri,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.85,3,fri,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,3,fri,begum_rokeya,apr,f,1
3.0,3.03,2.71,2.86,3,sat,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,3,sat,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.85,3,sat,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,3,sat,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.85,3,sat,begum_rokeya,apr,e,1
3.0,3.02,2.71,2.85,3,sat,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.86,3,sun,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.86,3,sun,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,3,sun,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,3,sun,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,3,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,3,sun,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,3,wed,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.87,3,wed,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,3,wed,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.87,3,wed,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,3,wed,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,3,wed,begum_rokeya,apr,f,1
3.0,3.03,2.71,2.85,4,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,4,mon,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.85,4,mon,begum_rokeya,apr,c,1
3.0,2.98,2.71,2.85,4,mon,begum_rokeya,apr,d,1
3.0,2.97,2.71,2.85,4,mon,begum_rokeya,apr,e,1
3.0,2.98,2.71,2.85,4,mon,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.86,4,sat,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.86,4,sat,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,4,sat,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.85,4,sat,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,4,sat,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,4,sat,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.86,4,sun,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.86,4,sun,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,4,sun,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,4,sun,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,4,sun,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.86,4,sun,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.86,4,thu,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.86,4,thu,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,4,thu,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.86,4,thu,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,4,thu,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.86,4,thu,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.85,5,fri,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.85,5,fri,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.85,5,fri,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.85,5,fri,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.85,5,fri,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,5,fri,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.85,5,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,5,mon,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.85,5,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.85,5,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,5,mon,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,5,mon,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,5,sun,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,5,sun,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,5,sun,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,5,sun,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,5,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,5,sun,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,5,tue,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.87,5,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,5,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,5,tue,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,5,tue,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,5,tue,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.85,6,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.85,6,mon,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.85,6,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.85,6,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,6,mon,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.85,6,mon,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,6,sat,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,6,sat,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,6,sat,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,6,sat,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,6,sat,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.86,6,sat,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,6,tue,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.87,6,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,6,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,6,tue,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,6,tue,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,6,tue,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,6,wed,begum_rokeya,apr,a,1
3.0,2.97,2.71,2.87,6,wed,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,6,wed,begum_rokeya,apr,c,1
