traffic_indicator,traffic_indicator_LR,location,time_block,weather,month,date,day
2,2.43,kalshi,f,2,feb,12,fri
2,2.05,cantonment,c,2,nov,30,tue
2,1.61,mirpur_12,e,3,sep,27,sun
3,2.4,mirpur_11,c,2,dec,18,wed
2,2.61,cantonment,a,2,dec,7,mon
3,2.54,begum_rokeya,a,2,jan,20,mon
2,2.11,mirpur_10,d,1,jun,28,tue
1,2.05,mirpur_11,f,1,jun,14,tue
2,1.79,mirpur_14,c,1,may,3,tue
2,1.8,mirpur_14,b,1,may,21,thu
2,2.12,cantonment,a,1,may,28,thu
2,1.77,mirpur_12,b,2,nov,10,wed
3,2.62,begum_rokeya,e,2,feb,23,sat
1,1.65,mirpur_11,f,3,sep,28,mon
2,2.24,matikata,f,3,jul,14,thu
3,2.53,mirpur_11,e,1,apr,5,mon
2,1.85,mirpur_10,c,2,nov,17,sun
2,2.43,cantonment,c,2,jan,3,fri
3,2.57,bijoy_shoroni,b,2,feb,14,fri
1,1.95,mirpur_14,a,1,jun,6,mon
3,2.51,bijoy_shoroni,f,2,jan,19,wed
3,1.66,mirpur_11,f,3,sep,29,sun
3,2.7,begum_rokeya,b,2,dec,4,sat
2,1.88,cantonment,c,3,sep,26,sun
2,2.62,kalshi,e,3,aug,22,sat
2,1.77,kalshi,b,3,sep,2,mon
2,2.34,mirpur_12,e,2,dec,24,fri
2,1.91,mirpur_12,e,1,mar,2,sat
2,2.39,cantonment,d,3,jul,26,tue
2,2.54,cantonment,b,2,feb,20,thu
2,2.2,cantonment,a,1,mar,28,sun
2,2.38,kalshi,d,2,jan,27,wed
3,2.48,begum_rokeya,f,3,jul,24,wed
2,2.43,mirpur_12,a,3,aug,20,fri
3,2.14,mirpur_14,c,2,jan,28,thu
2,2.18,kalshi,b,1,jun,6,sun
2,2.21,cantonment,d,1,mar,31,wed
1,2.07,jahangir_gate,a,1,may,23,sat
3,2.21,begum_rokeya,f,1,may,6,wed
1,2.04,mirpur_11,d,1,jun,11,fri
1,1.83,jahangir_gate,e,3,sep,8,thu
1,1.96,mirpur_11,a,1,mar,25,fri
3,2.07,bijoy_shoroni,e,2,nov,9,sat
3,2.32,mirpur_11,f,2,feb,28,thu
1,2.05,jahangir_gate,b,1,may,9,mon
2,1.87,kalshi,a,3,oct,9,sun
3,2.79,begum_rokeya,a,3,aug,19,fri
2,1.83,jahangir_gate,c,3,sep,19,sat
2,1.88,kalshi,e,3,oct,27,thu
1,2.05,mirpur_14,a,3,jul,19,mon
3,2.63,begum_rokeya,f,2,feb,6,wed
1,1.78,mirpur_14,c,1,may,13,fri
3,2.58,bijoy_shoroni,a,2,feb,1,tue
2,2.49,mirpur_12,a,1,apr,2,sat
2,2.57,matikata,f,3,aug,5,thu
2,2.48,matikata,e,2,dec,10,thu
3,2.62,begum_rokeya,f,2,feb,23,sat
3,2.83,bijoy_shoroni,c,1,apr,20,wed
3,2.6,mirpur_10,e,1,apr,28,thu
2,2.45,kalshi,e,2,feb,3,wed
2,1.95,kalshi,c,2,nov,9,tue
3,2.59,mirpur_10,e,1,apr,12,sun
3,2.87,begum_rokeya,f,1,apr,21,thu
2,2.27,cantonment,d,1,jun,24,fri
3,2.25,bijoy_shoroni,e,1,mar,25,wed
2,2.53,kalshi,e,2,dec,28,sat
2,1.69,mirpur_12,c,3,oct,7,thu
1,2.08,mirpur_10,b,1,jun,7,fri
3,2.23,bijoy_shoroni,e,1,mar,18,mon
2,1.88,kalshi,f,3,oct,19,tue
2,1.98,jahangir_gate,c,2,nov,16,mon
2,2.01,kalshi,a,1,may,4,mon
1,1.82,mirpur_11,d,2,nov,10,wed
